,Unnamed: 0,symbol,security,today,avg volume,charges
27,27,@h,NET,28.0,2800,280
26,26,@g,PLTR,27.0,2700,270
25,25,@f,COIN,26.0,2600,260
24,24,@e,ROKU,25.0,2500,250
23,23,@d,SNAP,24.0,2400,240
22,22,@c,PINS,23.0,2300,230
21,21,@b,TWTR,22.0,2200,220
20,20,@a,ZM,21.0,2100,210
19,19,@0,SQ,20.0,2000,200
18,18,@9,SHOP,19.0,1900,190
17,17,@8,LYFT,18.0,1800,180
16,16,@7,UBER,17.0,1700,170
15,15,@6,CRM,16.0,1600,160
14,14,@5,ADBE,15.0,1500,150
13,13,@4,SAP,14.0,1400,140
12,12,@3,IBM,13.0,1300,130
11,11,@2,ORCL,12.0,1200,120
10,10,@1,BABA,11.0,1100,110
9,9,@`,AMD,10.0,1000,100
8,8,@~,INTC,9.0,900,90
7,7,@!,NVDA,8.0,800,80
6,6,@*,NFLX,7.0,700,70
5,5,@&,FB,6.0,600,60
4,4,@^,TSLA,5.0,500,50
3,3,@%,GOOGL,4.0,400,40
2,2,@#,AMZN,3.0,300,30
1,1,@$,MSFT,2.0,200,20
0,0,@,AAPL,1.0,100,10
